title,company,salary,experience,location,skills,url,source,scraped_at,job_date_str
ERP / SaaS Sales Executive (Inbound Leads),"CyberLogitec Vietnam Co., Ltd.",Thương lượng,,Hà Nội,"B2B Sales, Enterprise Sales, Software",https://www.vietnamworks.com/erp-saas-sales-executive-inbound-leads-2067954-jv?source=searchResults&searchType=2&placement=2068004&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:28,
"Nhân Viên Kinh Doanh (Sales) - LCB 15Tr+++ / Nghỉ Thứ 7, Chủ Nhật",CÔNG TY TNHH EZ TECH VIỆT NAM,Từ 12tr ₫/tháng,,Hà Nội,"Phát Triển Khách Hàng, Sales B2C, Tư Vấn Bán Hàng",https://www.vietnamworks.com/nhan-vien-kinh-doanh-sales-lcb-15tr-nghi-thu-7-chu-nhat-2047344-jv?source=searchResults&searchType=2&placement=2047394&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:28,
Account Manager (Dự Án CNTT Khối Gov/ent),Công Ty Cổ Phần Tư Vấn Công Nghệ Ngs (Ngsc),"$ 500-2,000 /tháng",,"Hà Nội, Hồ Chí Minh","IT, Bán Hàng, Account Manager",https://www.vietnamworks.com/account-manager-du-an-cntt-khoi-gov-ent--2061262-jv?source=searchResults&searchType=2&placement=2061312&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:28,
Appication Developement Engineer,VietSol Co .Ltd,Thương lượng,,Hà Nội,"Android Framework, Android Framework, English/Chinese",https://www.vietnamworks.com/appication-developement-engineer-2060946-jv?source=searchResults&searchType=2&placement=2060996&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:28,
Chuyên Viên Phát Triển Phầm Mềm Mobile - IT,Ngân Hàng Thương Mại Cổ Phần Bảo Việt,Thương lượng,,Hà Nội,"Lập Trình Android, React Native, Waterfall",https://www.vietnamworks.com/chuyen-vien-phat-trien-pham-mem-mobile-it-2060819-jv?source=searchResults&searchType=2&placement=2060869&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:28,
Cyber Security Sales Representative (Vietnam),Công Ty Cổ Phần Quốc Tế WorldStar (WSI),Từ 20tr ₫/tháng,,"Hà Nội, Hồ Chí Minh","Cybersecurity Sales, Market Analysis, Partner Management",https://www.vietnamworks.com/cyber-security-sales-representative-vietnam-2060742-jv?source=searchResults&searchType=2&placement=2060792&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:28,
Trainer (Sales Industry - Chinese Speaking),Itechwx COMPANY Limited,Thương lượng,,Hà Nội,"Training & coaching, Chinese Language",https://www.vietnamworks.com/trainer-sales-industry-chinese-speaking-2067593-jv?source=searchResults&searchType=2&placement=2067643&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:29,
Kế Toán Tổng Hợp – Thuế (14–20M/ Tháng và Nhiều Đãi Ngộ Hấp Dẫn),Công Ty TNHH Công Nghệ Nguyên Lộc,14tr-20tr ₫/tháng,,Hà Nội,"Tài Chính Kế Toán, Thuế, Báo Cáo Thuế",https://www.vietnamworks.com/ke-toan-tong-hop-thue-14-20m-thang-va-nhieu-dai-ngo-hap-dan-2044245-jv?source=searchResults&searchType=2&placement=2044295&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:29,
Kỹ Sư Phát Triển Phần Mềm AI Cho Thiết Bị Thông Minh (AI Software Engineer Smart Devices),Công Ty Cổ Phần Công Nghệ Công Nghiệp Bưu Chính Viễn Thông - VNPT Technology,Thương lượng,,Hà Nội,"Ai Camera, C/C++, Python",https://www.vietnamworks.com/ky-su-phat-trien-phan-mem-ai-cho-thiet-bi-thong-minh-ai-software-engineer-smart-devices-2060032-jv?source=searchResults&searchType=2&placement=2060082&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:29,
Kế Toán Tổng Hợp,CÔNG TY TNHH CÔNG NGHỆ NIỀM VUI,Từ 25tr ₫/tháng,,Hà Nội,"Kế Toán Tổng Hợp, Phân Tích Tài Chính, Tài Chính Kế Toán",https://www.vietnamworks.com/ke-toan-tong-hop-2060356-jv?source=searchResults&searchType=2&placement=2060406&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:29,
AI Evaluator (Vietnamese) | Remote,Ebit,40tr-45tr ₫/tháng,,"Hồ Chí Minh, Hà Nội","Analytical Skills, Attention To Detail, English Proficiency",https://www.vietnamworks.com/ai-evaluator-vietnamese-or-remote-2066621-jv?source=searchResults&searchType=2&placement=2066671&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:29,
Nhân Viên Kỹ Thuật Điện / Điện Nhẹ - Presale,Công Ty Cổ Phần Idlinks Việt Nam,10tr-17tr ₫/tháng,,Hà Nội,"Presale, Bóc Tách Khối Lượng, Kinh Doanh",https://www.vietnamworks.com/nhan-vien-ky-thuat-djien-djien-nhe-presale-2065012-jv?source=searchResults&searchType=2&placement=2065062&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:29,
Nhân Viên Kinh Doanh (Công Nghệ Thông Tin),Công ty Cổ phần TMGS Việt Nam,Từ 15tr ₫/tháng,,Hà Nội,"Giải Pháp Công Nghệ, Information Technology, Technical Sales",https://www.vietnamworks.com/nhan-vien-kinh-doanh-cong-nghe-thong-tin-2067069-jv?source=searchResults&searchType=2&placement=2067119&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:29,
Quality Assurance (Chinese Speaking),ITECHWX COMPANY LIMITED,Thương lượng,,Hà Nội,"Quality Assurance, Customer Service Mindset, Chinese proficiency",https://www.vietnamworks.com/quality-assurance-chinese-speaking-2066996-jv?source=searchResults&searchType=2&placement=2067046&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:29,
Senior Accountant (Tax & Compliance Focus),Crossian Việt Nam,"$ 1,000-5,000 /tháng",,Hà Nội,"Finance, Tax Accounting, Financial Accounting",https://www.vietnamworks.com/senior-accountant-tax-compliance-focus--2056492-jv?source=searchResults&searchType=2&placement=2056542&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:29,
Bridge Project Manager/accelerator,Công Ty TNHH Money Forward Việt Nam,Thương lượng,,"Hồ Chí Minh, Hà Nội","Agile Scrum, Business Analysis, It Comtor",https://www.vietnamworks.com/bridge-project-manageraccelerator-2056382-jv?source=searchResults&searchType=2&placement=2056432&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:30,
Senior Accountant,Crossian Việt Nam,"$ 1,500-3,500 /tháng",,Hà Nội,"Finance, Kế Toán, Kế Toán Tổng Hợp",https://www.vietnamworks.com/senior-accountant--2056496-jv?source=searchResults&searchType=2&placement=2056546&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:30,
Customer Engagement,FPT Software,Thương lượng,,"Hồ Chí Minh, Đà Nẵng, Hà Nội","Communication, Customer Engagement, Pre-Sales Support",https://www.vietnamworks.com/customer-engagement-2066464-jv?source=searchResults&searchType=2&placement=2066514&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:30,
Project Manager (ERP/SAP),FPT Software,Thương lượng,,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Data Management, English Proficiency, Erp",https://www.vietnamworks.com/project-manager-erpsap-2066457-jv?source=searchResults&searchType=2&placement=2066507&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:30,
Backend Engineer (Middle+) (Thu Nhập 20-30 Triệu),K&M Holdings,20tr-30tr ₫/tháng,,Hà Nội,"Node.js (Nestjs- Express), Database management, System Design",https://www.vietnamworks.com/backend-engineer-middle-thu-nhap-20-30-trieu-2064251-jv?source=searchResults&searchType=2&placement=2064301&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:30,
Senior Fullstack Developer (React JS + Nodejs/nestjs),Công ty cổ phần công nghệ số VCI,35tr-100tr ₫/tháng,,Hà Nội,"React Js, Full Stack Development, Fullstack Developer",https://www.vietnamworks.com/senior-fullstack-developer-react-js-nodejs-nestjs-2065876-jv?source=searchResults&searchType=2&placement=2065926&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:30,
UI/UX Designer,Công ty cổ phần công nghệ số VCI,Thương lượng,,Hà Nội,"Figma, UI Design, Product Design",https://www.vietnamworks.com/uiux-designer-2065634-jv?source=searchResults&searchType=2&placement=2065684&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:30,
IT Executive (Microsoft 365),Công Ty Easia Travel,Thương lượng,,Hà Nội,"Microsoft 365, IT Phần Mềm, Helpdesk Support",https://www.vietnamworks.com/it-executive-microsoft-365-2050998-jv?source=searchResults&searchType=2&placement=2051048&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:30,
Chuyên Viên Trực Vận Hành Dịch Vụ Công Nghệ Thông Tin (NOC) - Mã Số: Vhqt - 06,Chi Nhánh Trung Tâm Công Nghệ Thông Tin Tập Đoàn Bảo Việt,Thương lượng,,Hà Nội,"NOC Operations, Quản Trị Hệ Thống CNTT, Vận Hành Hệ Thống",https://www.vietnamworks.com/chuyen-vien-truc-van-hanh-dich-vu-cong-nghe-thong-tin-noc-ma-so-vhqt-06-2051026-jv?source=searchResults&searchType=2&placement=2051076&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:30,
Kỹ Sư Bán Hàng Dự Án Thu Nhập Từ 20 - 70 Triệu,Công Ty Cổ Phần Đầu Tư Thương Mại Và Kỹ Thuật Lương Gia,20tr-70tr ₫/tháng,,Hà Nội,"Kỹ Thuật Điện, Tự Động Hóa, Lắp Đặt Thiết Bị",https://www.vietnamworks.com/ky-su-ban-hang-du-an-thu-nhap-tu-20-70-trieu-2060980-jv?source=searchResults&searchType=2&placement=2061030&sortBy=date&qs=0,vietnamworks,2026-06-17 15:05:30,
