title,company,salary,experience,location,skills,url,source,scraped_at,job_date_str
Mới IT Phần Mềm Logistis,Nippon Express Vietnam,Thương lượng,,Hà Nội,"WMS, SQL, Hạ Tầng Mạng",https://www.vietnamworks.com/it-phan-mem-logistis-2059462-jv?source=searchResults&searchType=2&placement=2059462&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
Mới Chuyên Viên Kinh Doanh (Tệp Khách Hàng Cũ) - Lương Cứng Từ 9.000.000 Vnđ/tháng - Bán Thêm Phần Mềm Trong Hệ Sinh Thái MISA,MISA Jointstock Company,15tr-20tr ₫/tháng,,"Hồ Chí Minh, Hà Nội","Phần mềm kế toán, Nhân viên kinh doanh, Cross Selling",https://www.vietnamworks.com/chuyen-vien-kinh-doanh-tep-khach-hang-cu-luong-cung-tu-9-000-000-vnd-thang-ban-them-phan-mem-trong-he-sinh-thai-misa-2060027-jv?source=searchResults&searchType=2&placement=2060027&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
Mới Chuyên Viên Quan Hệ Khách Hàng Doanh Nghiệp Lớn / Tuyển Gấp,MISA Jointstock Company,30tr-50tr ₫/tháng,,"Hồ Chí Minh, Hà Nội","Tài Chính Doanh Nghiệp, Quan Hệ Khách Hàng, Enterprise Account Management",https://www.vietnamworks.com/chuyen-vien-quan-he-khach-hang-doanh-nghiep-lon-tuyen-gap-2060030-jv?source=searchResults&searchType=2&placement=2060030&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
"Software Engineer (Embedded, MCU, RTOS)",LG Electronics Development Vietnam Company Limited,"$ 650-2,200 /tháng",,Hà Nội,"MCU Programming, Embedded, Embedded Software",https://www.vietnamworks.com/software-engineer-embedded-mcu-rtos--2048608-jv?source=searchResults&searchType=2&placement=2048608&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
Manual Test Engineer (Hybrid Working),LG Electronics Development Vietnam Company Limited,"$ 500-1,000 /tháng",,Hà Nội,"Automation Testing, Defect Tracking, Software Testing",https://www.vietnamworks.com/manual-test-engineer-hybrid-working-2048648-jv?source=searchResults&searchType=2&placement=2048648&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
Automation Engineer (Plc/dcs) - Power Plant,"Toshiba Software Development (Vietnam) CO., LTD",Thương lượng,,Hà Nội,"PLC, DCS, Điện Tự Động Hóa",https://www.vietnamworks.com/automation-engineer-plcdcs-power-plant-2055339-jv?source=searchResults&searchType=2&placement=2055339&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
General Accountant,1C Vietnam LLC,Thương lượng,,Hà Nội,"General Accounting Principals, Tax Regulation, Accounting Software",https://www.vietnamworks.com/general-accountant-2054386-jv?source=searchResults&searchType=2&placement=2054386&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
Senior Developer,Công Ty TNHH Giải Pháp Công Nghệ Cộng,"$ 800-1,800 /tháng",,Hà Nội,".Net, Full Stack Development, Docker",https://www.vietnamworks.com/senior-developer--2065799-jv?source=searchResults&searchType=2&placement=2065799&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
Senior Business Analyst (3-8 Năm Kinh Nghiệm),Công Ty TNHH Giải Pháp Công Nghệ Cộng,"$ 700-1,500 /tháng",,Hà Nội,"Business Analysis, Data Analysis, Figma",https://www.vietnamworks.com/senior-business-analyst-3-8-nam-kinh-nghiem--2065798-jv?source=searchResults&searchType=2&placement=2065798&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
SAP Senior Consultant - SAP Project Management (PMO) Assistant,Deloitte Consulting SEA,Thương lượng,,"Hồ Chí Minh, Hà Nội","SAP, Consulting, Information Technology",https://www.vietnamworks.com/sap-senior-consultant-sap-project-management-pmo-assistant-2061220-jv?source=searchResults&searchType=2&placement=2061220&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
