title,company,salary,experience,location,skills,url,source,scraped_at,job_date_str
Back-End Developer,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ TRIPLAYZ,15 - 20 triệu,,Hà Nội,"2 năm kinh nghiệm chuyên môn, Backend Developer, IT - Phần mềm, Nghỉ thứ 7, Tiếng Anh Đọc hiểu, Đại Học trở lên",https://www.topcv.vn/viec-lam/back-end-developer/2084326.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-10
"Java Developer - Từ 2 Năm KN+, ĐHBK ĐHQG, BCVT, MTA, ĐH Công Nghiệp, ĐH GTVT... - Viettel Solutions",TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,20 - 60 triệu,,Hà Nội,"2 năm kinh nghiệm chuyên môn, Backend Developer, IT - Phần mềm, Nghỉ thứ 7, Tiếng Anh TOEIC 550, Tiếng Anh TOEIC 650, Đại Học trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Team building, Du lịch hàng năm, Phụ cấp: Ăn trưa, Cước điện thoại",https://www.topcv.vn/viec-lam/java-developer-tu-2-nam-kn-dhbk-dhqg-bcvt-mta-dh-cong-nghiep-dh-gtvt-viettel-solutions/2140970.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-10
Full Stack Developer (LLM Chatbot) (Đà Nẵng/ Hà Nội),CÔNG TY TNHH ACWORKS VIỆT NAM,20 - 40 triệu,,Hà Nội & Đà Nẵng (mới),"2 năm kinh nghiệm chuyên môn, Fullstack Developer, IT - Phần mềm, Nghỉ thứ 7, Đại Học trở lên, Nam",https://www.topcv.vn/viec-lam/full-stack-developer-llm-chatbot-da-nang-ha-noi/2190694.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-10
Mobile Developer (React Native) - Tại Hà Nội,Công ty Cổ phần TOPCV Việt Nam,Thoả thuận,,Hà Nội,"1 năm kinh nghiệm chuyên môn, Mobile Developer, IT - Phần mềm, Nghỉ thứ 7, Cao Đẳng trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Khám sức khỏe định kỳ, Team building, Thưởng tháng 13, Thưởng hiệu quả làm việc, Thiết bị: Máy tính",https://www.topcv.vn/brand/topcv/tuyen-dung/mobile-developer-react-native-tai-ha-noi-j2195051.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-10
Trưởng Nhóm/Senior Full Stack Developer - Trên 5 Năm Kinh Nghiệm,CÔNG TY TNHH PHẦN MỀM HICAS,Thoả thuận,,Hà Nội,"Trên 5 năm kinh nghiệm chuyên môn, Fullstack Developer, IT - Phần mềm, Nghỉ thứ 7, Tiếng Anh Đọc hiểu, Tuổi 28 - 45, Đại Học trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Thưởng tháng 13",https://www.topcv.vn/brand/hicas/tuyen-dung/truong-nhom-senior-full-stack-developer-tren-5-nam-kinh-nghiem-j2198493.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-12
Lập Trình Viên Backend Thu Nhập Từ 20 - 40 Triệu Yêu Cầu 3 Năm Kinh Nghiệm,Công ty cổ phần công nghệ A.I-Soft,20 - 40 triệu,,Hà Nội,"3 năm kinh nghiệm chuyên môn, Backend Developer, IT - Phần mềm, Đại Học trở lên",https://www.topcv.vn/viec-lam/lap-trinh-vien-backend-thu-nhap-tu-20-40-trieu-yeu-cau-3-nam-kinh-nghiem/2197203.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-11
Thực Tập Sinh Công Nghệ Thông Tin Fulltime (Được Đào Tạo + Có Lương + Hỗ Trợ Mộc),CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,4 - 20 triệu,,Hồ Chí Minh (mới),"Không yêu cầu kinh nghiệm chuyên môn, Software Engineer, IT - Phần mềm, Trung cấp trở lên",https://www.topcv.vn/viec-lam/thuc-tap-sinh-cong-nghe-thong-tin-fulltime-duoc-dao-tao-co-luong-ho-tro-moc/2190773.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-10
Java Backend Developer (Middle) - 20-35 M,Công ty Cổ phần Công nghệ MicroTech,20 - 35 triệu,,Hà Nội,"2 năm kinh nghiệm chuyên môn, Backend Developer, Nghỉ thứ 7, Đại Học trở lên",https://www.topcv.vn/viec-lam/java-backend-developer-middle-20-35-m/1761414.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-10
Full Stack Software Engineer,CÔNG TY TNHH CÔNG NGHỆ HATEK,10 - 17 triệu,,Hồ Chí Minh (mới),"1 năm kinh nghiệm chuyên môn, Software Engineer, IT - Phần mềm, Thương mại điện tử, Tiếng Anh Giao tiếp cơ bản, Tiếng Anh Giao tiếp thành thạo, Tiếng Anh Đọc hiểu, Đại Học trở lên, Team building, Thưởng tháng 13, Thưởng hiệu quả làm việc, Bảo hiểm xã hội, Phụ cấp: Ăn trưa",https://www.topcv.vn/viec-lam/full-stack-software-engineer/2203213.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-16
Lập Trình Viên Mobile Android,Công ty Cổ phần MISA,Thoả thuận,,Hà Nội,"3 năm kinh nghiệm chuyên môn, Mobile Developer, IT - Phần mềm, Nghỉ thứ 7, Tuổi 22 - 28, Cao Đẳng trở lên, Bảo hiểm xã hội, Khám sức khỏe định kỳ, Team building, Thưởng hiệu quả làm việc, Phụ cấp: Ăn trưa, Thiết bị: Máy tính",https://www.topcv.vn/viec-lam/lap-trinh-vien-mobile-android/2190693.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-10
